"","investigator","sampsize","term1.coef","term1.se","term1.pval","term2.coef","term2.se","term2.pval","type","min.biomass","max.biomass","intercept","form"
"1","Bartha",256,-0.653614461933377,0.192417292417171,0.00068164014759264,NA,NA,NA,"poisson",1.75434833571102,3.01184945264784,3.88096321713243,"NEG"
"2","Beierkuhnlein",373,0.151903857103072,0.0529502332162308,0.00412026636282958,NA,NA,NA,"poisson",0.845098040014257,3.30236556694266,2.04803566974125,"POS"
"3","Boldgiv",382,9.79103175502326,3.07405957371843,0.00144729274883086,-2.10027783307002,0.62537237045169,0.000783827156782719,"poisson",2.12031064263646,2.92366877680772,-8.66324406864178,"CD"
"4","Bork",384,-0.358098826361173,0.145574572141829,0.0138975902395058,NA,NA,NA,"poisson",1.92012332629072,3.1723985779393,2.93393350550191,"NEG"
"5","Cahill",383,5.47255485068085,1.5168663324432,0.000308800853326836,-1.21801541035693,0.313721983444283,0.000103401832189067,"poisson",1.88930170250631,2.91524149730619,-3.49632177854962,"CD"
"6","Cleland",128,NA,NA,NA,NA,NA,NA,"poisson",1.97689995098294,2.81000388177927,1.85624487565971,"NS"
"7","Csergo",253,NA,NA,NA,NA,NA,NA,"poisson",2.44090908206522,2.88536122003151,3.37701275269683,"NS"
"8","Diaz",256,4.10979292945074,0.995945715937185,3.68289144246323e-05,-0.799456689591008,0.170508142057504,2.74984220033979e-06,"poisson",2.28330122870355,3.5165353738958,-2.18239501120852,"CD"
"9","Fidelis",256,NA,NA,NA,NA,NA,NA,"poisson",2.40779866084079,3.37031319782599,1.51155952675057,"NS"
"10","Foster",256,-0.254747302475284,0.120703101998092,0.0348128834599942,NA,NA,NA,"poisson",1.88626505902976,3.24629665093593,3.00718697146995,"NEG"
"11","Fraser",894,-0.318844397477168,0.0911940084508581,0.000471703982937506,NA,NA,NA,"poisson",1.71301987245284,3.27188108605854,2.80661156688377,"NEG"
"12","Henry",128,NA,NA,NA,NA,NA,NA,"poisson",2.27353588481539,2.82475501254447,2.99962026640264,"NS"
"13","Hohn",256,NA,NA,NA,NA,NA,NA,"poisson",2.38453261549425,2.83632411570675,2.81081981776851,"NS"
"14","Jentsch",382,NA,NA,NA,NA,NA,NA,"poisson",1.62843402913944,2.97777139836676,3.06666628560588,"NS"
"15","Jouri",704,2.13857171137811,0.569172649508322,0.000171733258525498,-0.395316006954386,0.116520342153825,0.000692129347758525,"poisson",1.04446136081066,3.12819489542426,-0.410506520104458,"CD"
"16","Long",256,3.70012059512883,0.951804438477741,0.000101290384646836,-0.820431388075408,0.204954671163481,6.25470901927847e-05,"poisson",1.51851393987789,2.92085424459333,-1.36372175486349,"CD"
"17","Manning",256,NA,NA,NA,NA,NA,NA,"poisson",1.76075410950582,3.14793589602438,2.79148346356467,"NS"
"18","Mitchell",384,NA,NA,NA,NA,NA,NA,"poisson",2.49415459401844,3.75678819876812,1.34528511951088,"NS"
"19","Naseri",380,-0.206095618772128,0.101344867750503,0.0419912491411846,NA,NA,NA,"poisson",1.64443858946784,2.86443987940533,2.43900621752114,"NEG"
"20","Overbeck",128,NA,NA,NA,NA,NA,NA,"poisson",1.66143405039392,2.59517644575204,3.6792263690665,"NS"
"21","Pither",256,-0.32302515939093,0.164404331683635,0.0494349052267798,NA,NA,NA,"poisson",1.95520653754194,2.91719030851156,3.39395206482412,"NEG"
"22","Pringle",382,2.2936280399876,0.81378657671181,0.00482540458485172,-0.407677307230805,0.153377945712201,0.00786078280897995,"poisson",0.477121254719662,3.45270622651103,-1.53397761392431,"CD"
"23","Sternberg",384,2.6635808151544,0.524868018851834,3.87979216744902e-07,-0.545781131399232,0.124525339246057,1.17114099832137e-05,"poisson",1.32633586092875,2.84348194303996,-0.438668006547962,"CD"
"24","Sugiyama",378,NA,NA,NA,NA,NA,NA,"poisson",1.53007156883738,3.12006284105835,2.44846430657467,"NS"
"25","vanRooyen",384,NA,NA,NA,NA,NA,NA,"poisson",1.78746047451842,3.16890977912236,2.40542151912737,"NS"
"26","Wellstein",384,NA,NA,NA,NA,NA,NA,"poisson",2.01703333929878,2.92788341033071,3.39770785898993,"NS"
"27","Wilson",128,NA,NA,NA,NA,NA,NA,"poisson",2.92861089768901,3.26019068326996,3.47324988401761,"NS"
"28","Zobel",640,5.44278006015789,1.57781524280137,0.000561485498657214,-1.17770159621781,0.313590751885313,0.000172970369820014,"poisson",2.20417426607352,3.29631673756168,-3.29752892253215,"CD"
