"","site_id","b0","b1","b2","pi"
"1",1,6.2254149211855,-2.51979480320792,0.365980384515771,"Bartha"
"2",2,1.72926525041204,0.51353207977426,-0.0989583481176102,"Beierkuhnlein"
"3",3,-8.64628121952686,9.78188012875909,-2.09923742848831,"Boldgiv"
"4",4,1.75332986301604,0.689410263042706,-0.224981434664957,"Bork"
"5",5,-3.45918684861236,5.44228671211904,-1.21139810378716,"Cahill"
"6",6,1.80861619459824,-0.176998064480001,0.108381722086652,"Cleland"
"7",7,1.07898471934596,1.75740845985817,-0.327072333371504,"Csergo"
"8",8,-46.9698834745717,-161.846481971358,-554.615378659219,"Diaz"
"9",9,0.913551480595615,0.578319833305295,-0.0753243592874552,"Fidelis"
"10",10,2.67226984730578,0.0034216714955361,-0.0498389969896933,"Foster"
"11",11,1.49831656798418,0.801407907033512,-0.231742047976232,"Fraser"
"12",12,0.578148848595511,0.615845942915072,-0.0720402644301731,"Henry"
"13",13,-2.87009045213235,4.39384208625561,-0.806836331433875,"Hohn"
"14",14,4.29369497927739,-0.962917245311468,0.207606523609134,"Jentsch"
"15",15,-0.392059729663016,2.1152982312071,-0.390468783924701,"Jouri"
"16",16,-1.36710211485191,3.63788475284992,-0.794918126469627,"Long"
"17",17,3.31465870838328,-0.370176408393407,0.00856157485147547,"Manning"
"18",18,-5.28246411561342,4.38782020311079,-0.786767851442256,"Mitchell"
"19",19,0.895405319470917,1.47471231286843,-0.425353371788663,"Naseri"
"20",20,0.359900880998089,2.83657650094386,-0.673092034743492,"Overbeck"
"21",21,2.49248039542611,0.452898532884148,-0.16508371232571,"Pither"
"22",22,-1.59821570896719,2.34354991809418,-0.416885023681451,"Pringle"
"23",23,-0.481699328219512,2.71373007012489,-0.558067414300237,"Sternberg"
"24",24,0.6514298480197,1.29880738414668,-0.281848596865802,"Sugiyama"
"25",25,1.45614488267305,0.665505927196677,-0.168609881861384,"vanRooyen"
"26",26,1.85396543214585,1.06467688265831,-0.244229221057961,"Wellstein"
"27",27,0.63372067718344,2.62411036009669,-0.687258813463745,"Wilson"
"28",28,-0.145519329630319,2.93734273523424,-0.683866098587601,"Zobel"
