"","site_id","b0","b1","b2","pi"
"1",1,6.26004116498727,-2.49860669005212,0.356587358802808,"Bartha"
"2",2,1.75866019589259,0.527018319483654,-0.101168517709882,"Beierkuhnlein"
"3",3,-8.31772777666801,9.47412589328657,-2.03061693227635,"Boldgiv"
"4",4,1.3563908022833,0.790728298601904,-0.204542512121571,"Bork"
"5",5,-3.40832104782476,5.39225483139992,-1.20086906288913,"Cahill"
"6",6,3.79478566382819,-1.46808953471753,0.295205707704675,"Cleland"
"7",7,-15.0151368416704,13.7750139879043,-2.5658677194081,"Csergo"
"8",8,-2.280624290872,4.18417196385131,-0.809319462783015,"Diaz"
"9",9,1.63075529847705,-0.0105307819533709,0.025221019035325,"Fidelis"
"10",10,3.19062378924518,-0.385384104501375,0.0263113534080731,"Foster"
"11",11,1.44451416071125,0.860005682681367,-0.245950958938166,"Fraser"
"12",12,-5.78190292724091,6.48113331840794,-1.36301044975938,"Henry"
"13",13,-11.4455079122737,10.8367821308902,-2.01438625913778,"Hohn"
"14",14,4.31813037454921,-0.989632701825038,0.213620568543734,"Jentsch"
"15",15,-0.373242017526709,2.11141070173132,-0.389698551405133,"Jouri"
"16",16,-1.30727660089993,3.59745692365677,-0.78835793847047,"Long"
"17",17,2.56150004734944,-0.210200011499594,0.0494589016783743,"Manning"
"18",18,-5.06951229620645,4.16030818011067,-0.737670865464696,"Mitchell"
"19",19,1.54808174415553,0.520634830989612,-0.145251699080333,"Naseri"
"20",20,0.207610142888368,3.14230978067199,-0.740307932679199,"Overbeck"
"21",21,2.61623036637358,0.374654954679265,-0.15615791165867,"Pither"
"22",22,-1.71869150683065,2.44978006149333,-0.436116582088774,"Pringle"
"23",23,-0.484468180166163,2.69859628862366,-0.553023644267706,"Sternberg"
"24",24,0.522770342676555,1.37148404542484,-0.297815340487451,"Sugiyama"
"25",25,0.989352239451844,0.97978010611864,-0.217606242976911,"vanRooyen"
"26",26,5.32947934829563,-1.72533523141982,0.31195217314501,"Wellstein"
"27",27,20.3953769345346,-11.3221877838908,1.7622995407486,"Wilson"
"28",28,-3.07824697382645,5.2262065422843,-1.13055553325171,"Zobel"
