"","investigator","sampsize","term1.coef","term1.se","term1.pval","term2.coef","term2.se","term2.pval","type","min.biomass","max.biomass","intercept","form"
"1","Bartha",256,-0.653612970249505,0.192416890214646,0.000681641771685329,NA,NA,NA,"poisson",1.75434833571102,3.01184945264784,3.8809662437292,"NEG"
"2","Beierkuhnlein",373,0.151902396391975,0.0529502320966017,0.00412062492755175,NA,NA,NA,"poisson",0.845098040014257,3.30236556694266,2.04803200584319,"POS"
"3","Boldgiv",382,9.79093022069513,3.07466503249505,0.00145059816003326,-2.10025740703135,0.625495027200303,0.000785789761422066,"poisson",2.12031064263646,2.92366877680772,-8.66311789970219,"CD"
"4","Bork",384,-0.358093383747037,0.145579482500673,0.0139022514325818,NA,NA,NA,"poisson",1.92012332629072,3.1723985779393,2.93391721059814,"NEG"
"5","Cahill",383,5.47260085507524,1.51687254503164,0.000308782348855801,-1.21802485929419,0.313723673842746,0.00010339791924443,"poisson",1.88930170250631,2.91524149730619,-3.49637689831782,"CD"
"6","Cleland",128,NA,NA,NA,NA,NA,NA,"poisson",1.97689995098294,2.81000388177927,1.85624809962483,"NS"
"7","Csergo",253,NA,NA,NA,NA,NA,NA,"poisson",2.44090908206522,2.88536122003151,3.37696077728013,"NS"
"8","Diaz",256,4.10981767844444,0.995567758490553,3.65750023187407e-05,-0.799460892423629,0.170444715266672,2.72616740981742e-06,"poisson",2.28330122870355,3.5165353738958,-2.18243123107877,"CD"
"9","Fidelis",256,NA,NA,NA,NA,NA,NA,"poisson",2.40779866084079,3.37031319782599,1.51156749831475,"NS"
"10","Foster",256,-0.254747255221067,0.120703598094965,0.034813663482973,NA,NA,NA,"poisson",1.88626505902976,3.24629665093593,3.00716538103785,"NEG"
"11","Fraser",894,-0.318845791457892,0.0911948892537756,0.000471736661166207,NA,NA,NA,"poisson",1.71301987245284,3.27188108605854,2.80662274012358,"NEG"
"12","Henry",128,NA,NA,NA,NA,NA,NA,"poisson",2.27353588481539,2.82475501254447,2.99971469068914,"NS"
"13","Hohn",256,NA,NA,NA,NA,NA,NA,"poisson",2.38453261549425,2.83632411570675,2.81081605089259,"NS"
"14","Jentsch",382,NA,NA,NA,NA,NA,NA,"poisson",1.62843402913944,2.97777139836676,3.06664553402066,"NS"
"15","Jouri",704,2.13864417351084,0.569011251152367,0.000170916570147299,-0.395330592772791,0.116488292227523,0.000689459462762461,"poisson",1.04446136081066,3.12819489542426,-0.410595949474608,"CD"
"16","Long",256,3.70012092747209,0.951731577672255,0.000101166159976753,-0.820430283689738,0.20493961904903,6.24708014987143e-05,"poisson",1.51851393987789,2.92085424459333,-1.3637294771119,"CD"
"17","Manning",256,NA,NA,NA,NA,NA,NA,"poisson",1.76075410950582,3.14793589602438,2.79149580766244,"NS"
"18","Mitchell",384,NA,NA,NA,NA,NA,NA,"poisson",2.49415459401844,3.75678819876812,1.34526654497046,"NS"
"19","Naseri",380,-0.206092946448599,0.101346681591519,0.0419975828246104,NA,NA,NA,"poisson",1.64443858946784,2.86443987940533,2.43900034117407,"NEG"
"20","Overbeck",128,NA,NA,NA,NA,NA,NA,"poisson",1.66143405039392,2.59517644575204,3.67926332858411,"NS"
"21","Pither",256,-0.323009383225146,0.164402405885663,0.0494433514800481,NA,NA,NA,"poisson",1.95520653754194,2.91719030851156,3.39392541343051,"NEG"
"22","Pringle",382,2.29343098688135,0.813841493878044,0.00483190652819997,-0.407640523805569,0.153388287596644,0.00787056157670125,"poisson",0.477121254719662,3.45270622651103,-1.53371281817802,"CD"
"23","Sternberg",384,2.6634586166947,0.524859877774808,3.88293767543402e-07,-0.545752630674657,0.124523583865312,1.17203990749011e-05,"poisson",1.32633586092875,2.84348194303996,-0.438539453414776,"CD"
"24","Sugiyama",378,NA,NA,NA,NA,NA,NA,"poisson",1.53007156883738,3.12006284105835,2.4484928108522,"NS"
"25","vanRooyen",384,NA,NA,NA,NA,NA,NA,"poisson",1.78746047451842,3.16890977912236,2.40541972488866,"NS"
"26","Wellstein",384,NA,NA,NA,NA,NA,NA,"poisson",2.01703333929878,2.92788341033071,3.39770636275838,"NS"
"27","Wilson",128,NA,NA,NA,NA,NA,NA,"poisson",2.92861089768901,3.26019068326996,3.4732498863456,"NS"
"28","Zobel",640,5.44296231073471,1.57485117538236,0.00054789812677043,-1.1777377082211,0.313009791584457,0.000168140852870828,"poisson",2.20417426607352,3.29631673756168,-3.2977565689765,"CD"
